Product Name,Brand,Storage,Color,New Price,Old Price,Savings,id
iPhone 15 Pro Max 256GB Duos sim ZTA { 3% DISCOUNT ON CASH PAYMENT } (FaceTime video and voice calls ),apple,storage 256 GB,color Natural Titanium,73350.00 currency,88020.00 currency,youSave 14670.00 currency,15768
iPhone 15 Pro Max  ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 256 GB,color White,66550.00 currency,79860.00 currency,youSave 13310.00 currency,16355
iPhone 15 Pro Max ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 256 GB,color Blue Titanium,66550.00 currency,79860.00 currency,youSave 13310.00 currency,16356
iPhone 15 Pro Max ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 256 GB,color Black Titanium,66550.00 currency,79860.00 currency,youSave 13310.00 currency,16357
iPhone 15 Pro Max ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 256 GB,color Natural Titanium,66550.00 currency,79860.00 currency,youSave 13310.00 currency,15960
iPhone 15 Pro (خصم 3% على الدفع النقدى ),apple,storage 256 GB,color Black Titanium,59500.00 currency,71400.00 currency,youSave 11900.00 currency,16353
iPhone 15 Pro ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 128 GB,color Natural Titanium,56850.00 currency,68220.00 currency,youSave 11370.00 currency,16034
iPhone 14 Pro Max 256GB   مستعمل GOLD,apple,storage 256 GB,color GOLD,53000.00 currency,63600.00 currency,youSave 10600.00 currency,16323
iphone 15 plus { 3% discount on cash payment } - Japanese Ver,apple,storage 128 GB,color Blue,49950.00 currency,59940.00 currency,youSave 9990.00 currency,16461
iphone 15 plus { 3% discount on cash payment } - Japanese Ver,apple,storage 128 GB,color Black,49950.00 currency,59940.00 currency,youSave 9990.00 currency,16462
iphone 15 plus { 3% discount on cash payment } - Japanese Ver,apple,storage 128 GB,color Pink,49950.00 currency,59940.00 currency,youSave 9990.00 currency,16463
iPhone 15  ( خصم3 % على الدفع النقدى )(JAPANESE VERSION),apple,storage 128 GB,color Pink,41900.00 currency,50280.00 currency,youSave 8380.00 currency,15961
iPhone 15  ( خصم3 % على الدفع النقدى )(JAPANESE VERSION),apple,storage 128 GB,color Black,41900.00 currency,50280.00 currency,youSave 8380.00 currency,15962
iPhone 15  ( خصم3 % على الدفع النقدى )(JAPANESE VERSION),apple,storage 128 GB,color Blue,41900.00 currency,50280.00 currency,youSave 8380.00 currency,15963
iPhone 15   ( خصم3 % على الدفع النقدى )(JAPANESE VERSION),apple,storage 128 GB,color Green,41900.00 currency,50280.00 currency,youSave 8380.00 currency,15964
iPhone 14 Plus Japan version (خصم 3% على الدفع النقدى ),apple,storage 128 GB,color MIDNIGHT BLACK,38900.00 currency,46680.00 currency,youSave 7780.00 currency,14572
IPhone 14  ( خصم3% على الدفع النقدى ) -(JAPANESE VERSION),apple,storage 128 GB,color White,37500.00 currency,45000.00 currency,youSave 7500.00 currency,14443
IPhone 14  ( خصم3% على الدفع النقدى ) -(JAPANESE VERSION),apple,storage 128 GB,color PURPLE,37500.00 currency,45000.00 currency,youSave 7500.00 currency,14444
IPhone 14   -(JAPANESE VERSION) ( خصم3 % على الدفع النقدى ),apple,storage 128 GB,color Black,37500.00 currency,45000.00 currency,youSave 7500.00 currency,14445
IPhone 14   (JAPANESE VERSION)( خصم3 % على الدفع النقدى ),apple,storage 128 GB,color Blue,37500.00 currency,45000.00 currency,youSave 7500.00 currency,14453
iPhone 13  ( خصم3% على الدفع النقدى ),apple,storage 128 GB,color Pink,31900.00 currency,38280.00 currency,youSave 6380.00 currency,14508
iPhone 13 ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 128 GB,color Black,31900.00 currency,38280.00 currency,youSave 6380.00 currency,4999
iPhone 13   ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 128 GB,color White,31900.00 currency,38280.00 currency,youSave 6380.00 currency,8002
iPhone 13  ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 128 GB,color blue,31900.00 currency,38280.00 currency,youSave 6380.00 currency,16151
iphone 13-(JAPANESE VERSION) ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 128 GB,color Green,30900.00 currency,37080.00 currency,youSave 6180.00 currency,11216
iPhone 13    -(Japanese Version) ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 128 GB,color White,30900.00 currency,37080.00 currency,youSave 6180.00 currency,14432
iPhone 13    -(Japanese Version) ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 128 GB,color MIDNIGHT BLACK,30900.00 currency,37080.00 currency,youSave 6180.00 currency,14433
iPhone 13     -(Japanese Version) ( 3% DISCOUNT ON CASH PAYMENT ),apple,storage 128 GB,color Blue,30900.00 currency,37080.00 currency,youSave 6180.00 currency,14434
Apple iPhone 11  ( خصم3 % على الدفع النقدى ) (Japanese Version),apple,storage 128 GB,ram 4 GB,24500.00 currency,29400.00 currency,youSave 4900.00 currency,125
Apple iPhone 11   ( 3% DISCOUNT ON CASH PAYMENT ) (Japanese Version),apple,storage 128 GB,ram 4 GB,24500.00 currency,29400.00 currency,youSave 4900.00 currency,127
Apple Watch Series 9 45MM,apple,color Pink,N/A,22900.00 currency,27480.00 currency,youSave 4580.00 currency,15796
Apple Watch Series 9 45MM Color :Midnight Al Midnight ( خصم 3% على الكاش ),apple,color Black,N/A,21450.00 currency,25740.00 currency,youSave 4290.00 currency,15797
Apple Watch Series 9 45MM Color :Starlight Al Star( خصم 3% على الكاش ),apple,color BEIGE,N/A,21450.00 currency,25740.00 currency,youSave 4290.00 currency,16444
APPLE WATCH SERIES 9 45MM COLOR :Blue  ( خصم 3% على الكاش ),apple,color Blue,N/A,21450.00 currency,25740.00 currency,youSave 4290.00 currency,16656
ipad 9th Generation  Wi Fi ( خصم 3%  على الدفع النقدى ),apple,storage 64 GB,color Silver,16700.00 currency,20040.00 currency,youSave 3340.00 currency,10063
